FileType,OuDia.JikokuhyouCsv.1
平日
下り

列車番号,,2215T,2257T,2219T,2249T,2363T,2377T,2427T
列車種別,,,,,,,,
列車名,,,,,,,,
号数,,,,,,,,
,,,,,,,,
東京,着,,,,,,,
東京,発,2203,2214,2235,2250,2313,2331,000
神田,着,2205,2216,2237,2252,2315,2333,002
神田,発,2205,2216,2237,2252,2315,2333,002
御茶ノ水,着,2207,2218,2240,2255,2318,2335,004
御茶ノ水,発,2207,2218,2240,2255,2318,2335,004
四ツ谷,着,2212,2223,2244,2259,2322,2340,009
四ツ谷,発,2212,2223,2244,2259,2322,2340,009
新宿,着,2219,2229,2251,2306,2327,2345,014
新宿,発,2219,2229,2251,2306,2327,2345,014
中野,着,2223,2233,2255,2310,2332,2349,018
中野,発,2223,2233,2255,2310,2332,2349,018
三鷹,着,2234,2245,2306,2320,2342,2359,027
三鷹,発,2234,2245,2306,2320,2342,2359,027
国分寺,着,2241,2252,2313,2328,2349,007,033
国分寺,発,2241,2252,2313,2328,2349,007,033
立川,着,2247,2300,2319,2334,2355,013,038
立川,発,2247,2300,2319,2334,2355,013,038
日野,着,2250,2303,2322,2337,2358,016,041
日野,発,2250,2303,2322,2337,2358,016,041
豊田,着,2253,2306,2325,2340,001,019,044
豊田,発,2253,2306,2325,2340,001,019,044
八王子,着,2257,2312,2329,2344,005,024,048
八王子,発,2257,2312,2329,2344,005,024,048
西八王子,着,2300,2315,2332,2347,008,027,051
西八王子,発,2300,2315,2332,2347,008,027,051
高尾,着,2304,2319,2337,2352,013,031,055
高尾,発,,,,,,033,
備考,,,,,,,,
